date,SPY,BND,GLD,DBC,CASH
2021-04-26,417.61,85.39,166.84,17.76,1
2021-04-27,417.52,85.17,166.42,17.91,1
2021-04-28,417.4,85.21,166.91,17.94,1
2021-04-29,420.06,85.14,166.22,18.06,1
2021-04-30,417.3,85.26,165.66,17.91,1
2021-05-03,418.2,85.15,167.81,18.11,1
2021-05-04,415.62,85.26,166.58,18.39,1
2021-05-05,415.75,85.31,167.27,18.46,1
2021-05-06,419.07,85.35,170.06,18.55,1
2021-05-07,422.12,85.36,171.59,18.73,1
2021-05-10,417.94,85.16,172.11,18.6,1
2021-05-11,414.21,84.99,172.14,18.8,1
2021-05-12,405.41,84.69,170.43,18.78,1
2021-05-13,410.28,84.86,171.13,18.26,1
2021-05-14,416.58,85.06,172.69,18.41,1
2021-05-17,415.52,84.98,174.7,18.64,1
2021-05-18,411.94,84.89,175.04,18.55,1
2021-05-19,410.86,84.8,175.16,18.17,1
2021-05-20,415.28,85.08,175.96,17.98,1
2021-05-21,414.94,85.1,176.04,18.15,1
2021-05-24,419.17,85.2,176.35,18.4,1
2021-05-25,418.24,85.42,177.95,18.34,1
2021-05-26,419.07,85.39,177.64,18.37,1
2021-05-27,419.29,85.27,177.71,18.66,1
2021-05-28,420.04,85.26,178.38,18.6,1
2021-06-01,419.67,85.12,177.9,18.93,1
2021-06-02,420.33,85.21,178.77,19.03,1
2021-06-03,418.77,85.05,175.27,18.87,1
2021-06-04,422.6,85.39,177.16,19.08,1
2021-06-07,422.19,85.33,177.87,19.11,1
2021-06-08,422.28,85.49,177.32,19.3,1
2021-06-09,421.65,85.66,176.98,19.21,1
2021-06-10,423.61,85.84,177.74,19.28,1
2021-06-11,424.31,85.82,175.74,19.22,1
2021-06-14,425.26,85.6,174.71,19.11,1
2021-06-15,424.48,85.6,174.05,19.03,1
2021-06-16,422.11,85.36,171.11,18.92,1
2021-06-17,421.97,85.65,165.85,18.43,1
2021-06-18,414.92,85.92,164.93,18.62,1
2021-06-21,420.86,85.62,166.95,18.85,1
2021-06-22,423.11,85.74,166.25,18.88,1
2021-06-23,422.6,85.68,166.14,19.0,1
2021-06-24,425.1,85.72,166.04,19.07,1
2021-06-25,426.61,85.56,166.59,18.99,1
2021-06-28,427.47,85.79,166.58,18.98,1
2021-06-29,427.7,85.83,164.83,19.07,1
2021-06-30,428.06,85.89,165.63,19.25,1
2021-07-01,430.43,85.75,166.2,19.32,1
2021-07-02,433.72,85.9,167.29,19.5,1
2021-07-06,432.93,86.21,168.12,18.97,1
2021-07-07,434.46,86.39,168.76,18.74,1
2021-07-08,430.92,86.47,168.65,18.9,1
2021-07-09,435.52,86.2,169.21,19.12,1
2021-07-12,437.08,86.17,169.0,19.15,1
2021-07-13,435.59,85.9,169.22,19.31,1
2021-07-14,436.24,86.19,171.04,19.12,1
2021-07-15,434.75,86.4,171.07,19.02,1
2021-07-16,431.34,86.32,169.41,19.02,1
2021-07-19,424.97,86.81,169.61,18.26,1
2021-07-20,431.06,86.72,169.39,18.53,1
2021-07-21,434.55,86.44,168.76,18.9,1
2021-07-22,435.46,86.63,169.09,19.05,1
2021-07-23,439.94,86.53,168.56,19.15,1
2021-07-26,441.02,86.48,168.16,19.29,1
2021-07-27,439.01,86.7,168.44,19.18,1
2021-07-28,438.83,86.78,169.29,19.27,1
2021-07-29,440.65,86.63,171.17,19.61,1
2021-07-30,438.51,86.76,169.82,19.5,1
2021-08-02,437.59,86.83,169.61,19.29,1
2021-08-03,441.15,86.85,169.49,19.2,1
2021-08-04,438.98,86.85,169.53,18.89,1
2021-08-05,441.76,86.65,168.86,19.17,1
2021-08-06,442.49,86.24,164.64,19.01,1
2021-08-09,442.13,86.08,161.72,18.74,1
2021-08-10,442.68,85.95,161.77,19.08,1
2021-08-11,443.78,86.01,164.0,19.25,1
2021-08-12,445.11,86.02,164.04,19.18,1
2021-08-13,445.92,86.36,166.39,19.07,1
2021-08-16,446.97,86.44,167.22,19.02,1
2021-08-17,444.04,86.35,166.97,18.81,1
