ds,yhat,yhat_lower,yhat_upper
2020-04-20,457.50052378134257,421.5090719969977,493.5540406838175
2020-04-21,456.8583924830438,421.7334871515973,494.8592026351288
2020-04-22,456.2131822950784,419.4036331137376,494.42276737104964
2020-04-23,455.41860238546525,419.14916192713565,492.7742995552586
2020-04-24,454.44670223658477,420.2439138498888,492.6584597590589
2020-04-27,450.91712677900574,415.0546570217739,489.07451208974817
2020-04-28,450.7025646182174,416.5413945139178,487.372643007841
2020-04-29,450.51161169639585,417.4696331376104,487.9094512471941
2020-04-30,450.1978477485258,414.8727290392028,488.7275374198807
2020-05-01,449.7331970285507,409.43971489675766,488.87382066989016
2020-05-04,447.8806601341733,408.3277872011235,483.49841580892576
2020-05-05,448.2743868057395,411.37727648295925,486.06356486220244
2020-05-06,448.71410325518485,411.03977793585267,488.92429699199977
2020-05-07,449.0512624145919,410.0761703007813,487.6925352875949
2020-05-08,449.2550642359234,411.69747878158864,486.921738384947
2020-05-11,449.4762542188104,413.9383624498767,489.17787257550486
2020-05-12,450.56854921316574,411.1998442187464,486.6831970431403
2020-05-13,451.70126610893107,412.8082684777508,487.6717250121536
2020-05-14,452.7195395742764,415.6917566695308,489.6976022866561
2020-05-15,453.585849739978,415.6015744273298,490.9671837460922
2020-05-18,455.61210747119264,421.1693299598913,493.8116617816579
2020-05-19,457.22138775727166,419.857607108059,493.3474614827151
2020-05-20,458.81716780929867,420.8241930851644,496.7407931262412
2020-05-21,460.2381851283682,423.1376270347008,496.0258624936247
2020-05-22,461.4411011687416,426.1503779242682,497.0352007292732
2020-05-26,465.6735313361229,429.13856160642524,500.67293459228455
2020-05-27,467.21790078391507,430.81221406983775,506.9589303661987
2020-05-28,468.5060171156215,429.2719471175209,507.06250974788367
2020-05-29,469.49614078931273,432.72743312624425,506.05334951776587
2020-06-01,471.0068274889311,433.55062984595526,507.7416385495375
2020-06-02,472.15613887017855,436.7887879658107,507.05565856430354
2020-06-03,473.15741947755146,438.04405486487065,509.2928505921002
2020-06-04,473.8585402589808,435.75452553243247,509.74754274799943
2020-06-05,474.2274693125984,437.33510271311275,512.6708805484642
2020-06-08,473.7762429909371,436.02997555671914,512.0189166131645
2020-06-09,474.2764396392402,438.56887509345887,511.59654154866945
