ds,yhat,yhat_lower,yhat_upper
2020-04-20,103.88533543195508,97.30229456865293,109.7363788325792
2020-04-21,104.17559832500771,98.05801257848611,109.88713147657066
2020-04-22,104.74021442923073,98.59278893940883,110.73691799545693
2020-04-23,104.86031542048738,98.57632580809232,110.70790295579988
2020-04-24,105.21250797967619,98.96932926779786,111.3744977509479
2020-04-27,106.08909122540894,100.24490605997282,112.66018461354362
2020-04-28,106.26836309998401,99.80842359722268,112.73857362104539
2020-04-29,106.70142928697567,100.84110820163298,113.12127429286377
2020-04-30,106.67325643185606,100.22081928573388,112.66025911170138
2020-05-01,106.86462328096017,100.95135888293694,113.35011999785434
2020-05-04,107.22777223555231,100.5918800601886,113.24124327036391
2020-05-05,107.24041256691032,100.83070918480715,113.8705743760297
2020-05-06,107.51613631892816,101.53602733749047,113.95159544058114
2020-05-07,107.3436705372993,101.21969634561654,113.54660843943145
2020-05-08,107.40711280831476,100.58214770292797,113.37613383523113
2020-05-11,107.50968252082518,101.1492122703717,113.80586769753803
2020-05-12,107.48174170574835,101.16827116418666,113.65839361095057
2020-05-13,107.74096402419863,101.19757648486018,113.7841588609636
2020-05-14,107.57562568628175,101.02485998662942,113.44352290888096
2020-05-15,107.66872007114698,101.16213632707353,113.80948359629299
2020-05-18,107.97548835139845,101.55354504142512,114.50265539810822
2020-05-19,108.04488618452588,101.84683655258944,114.25391404588913
2020-05-20,108.41053978294731,102.02632859000954,114.45446654364211
2020-05-21,108.35700921763255,102.23577732747027,114.35361874273413
2020-05-22,108.56345169693274,102.44935385325321,115.4942995120549
2020-05-26,109.33320584252314,103.00358860174114,115.30442170811682
2020-05-27,109.76523992124898,103.39964436905841,115.85121381235464
2020-05-28,109.75963655657246,103.75580994707423,116.0965333267666
2020-05-29,109.99352006435052,104.20262090867229,116.21482447609081
2020-06-01,110.55886905780542,104.25617947167176,116.41268513866247
2020-06-02,110.64686655156413,104.50811703773813,116.5392580401728
2020-06-03,110.99300130603496,104.91920273343598,117.16560870673553
2020-06-04,110.88067609303725,104.82835490174224,117.21379451653667
2020-06-05,110.98888730214006,104.90289262723898,116.8917161288119
2020-06-08,111.08866855702368,104.28643811624741,117.35575389629572
2020-06-09,111.00201576352924,104.7023510404507,116.98872133711708
2020-06-10,111.16936779595311,104.60002838293406,117.43549929882658
2020-06-11,110.87765855309388,104.52202286422798,116.90870267241098
2020-06-12,110.80941556558616,104.94620586564766,117.19619976549002
2020-06-15,110.43108733464784,104.46827887706478,116.82570957316882
2020-06-16,110.21233277022341,103.19719527788907,116.03347272043146
2020-06-17,110.26557566599338,104.04266627517573,116.19697205595088
2020-06-18,109.8798230240478,103.89713987775997,116.42279997872754
2020-06-19,109.7392652101491,102.8621740801528,116.00822631832635
2020-06-22,109.28448866196207,103.12435925013273,115.91019058183167
2020-06-23,109.08827564025945,102.56607415436027,115.4308438895418
2020-06-24,109.18761762834254,102.7936858806326,115.08275446157113
2020-06-25,108.87066860934031,102.49162503497489,114.51762288613388
2020-06-26,108.82042715963141,102.64068943585971,114.75026952077856
2020-06-29,108.74959765361754,102.44893476894562,115.40342816373033
2020-06-30,108.71262515260005,102.55683305767405,115.14836415930034
2020-07-01,108.98328459399723,102.70663643374562,114.89799199392431
2020-07-02,108.84749393156778,102.94025388233366,115.42040696166835
2020-07-06,109.505427528688,103.2073831409313,115.85090523377318
2020-07-07,109.66647027493227,103.81743089956161,115.84530386029931
2020-07-08,110.13274753809574,103.86837052745831,116.10999565266813
2020-07-09,110.18859187713207,103.70570600094204,116.9200796193049
2020-07-10,110.51334266298065,103.99197851580811,116.27282541378874
2020-07-13,111.54733509531445,105.03904159075988,118.13802866267895
2020-07-14,111.8620600698488,105.51375642518924,118.06095567316898
2020-07-15,112.47187160165986,106.43230672365796,118.9211344213526
2020-07-16,112.66053786383269,106.25304504428843,119.166719527916
2020-07-17,113.10692375732374,107.25521038391936,119.32339766666298
2020-07-20,114.43494989613507,108.4505775624506,120.1834617385771
2020-07-21,114.82304060287952,108.24772263121002,120.79786049449635
2020-07-22,115.49345918133152,109.097444157444,121.42343095298015
2020-07-23,115.72974252127482,109.50720766577463,121.72437281263292
2020-07-24,116.21054138668248,109.97692053815322,122.58258791736137
2020-07-27,117.56078026943109,111.24036667118396,123.59823691919493
2020-07-28,117.92883768821456,111.43050140304743,124.17048133721104
2020-07-29,118.56541750900276,112.53171094196782,125.17793238501704
2020-07-30,118.75411164682106,112.90947151481059,124.62586214968495
2020-07-31,119.17371925845329,112.91335793547428,125.23476942778677
2020-08-03,120.26197242684468,113.78558630435813,126.37647372835052
2020-08-04,120.51829186007315,114.13341370974041,126.89856362342692
2020-08-05,121.0321550491771,114.52108178730586,127.54194399207637
2020-08-06,121.08811550872636,114.51463737812618,127.02572258165736
2020-08-07,121.3660823331447,115.13557479026963,127.54576768070025
2020-08-10,121.9890918462426,115.77673884426177,128.29357203807535
2020-08-11,122.08182420764354,116.23642055756005,128.33842355876521
2020-08-12,122.43051715620341,116.28576102086772,128.56029304796553
2020-08-13,122.32139040040155,116.14134795073784,128.58600658610777
2020-08-14,122.43601574916852,116.30485935664517,129.27178330120037
2020-08-17,122.59535303246861,116.40497564428404,128.8581515726149
2020-08-18,122.54710882307918,115.89960547329416,128.28703773356386
2020-08-19,122.76365024097706,116.48424613492027,128.76131715961932
2020-08-20,122.5321367192775,116.12180463678412,128.34300876004065
2020-08-21,122.53486048110665,115.76223367840338,128.32856881488388
2020-08-24,122.42496802571202,117.09687575305641,129.11872022196647
2020-08-25,122.3090687469142,116.19283536516507,128.6703817471025
2020-08-26,122.46834360042286,116.41019345357738,128.55777880273868
2020-08-27,122.18921125798126,115.80435258363184,128.01850023714272
2020-08-28,122.15302096162925,116.09051926938584,128.46531845453524
2020-08-31,121.96680596468931,115.39032423606932,128.0185167058775
2020-09-01,121.83447307704218,115.31409068811405,128.1926880994464
2020-09-02,121.97946818555019,116.12567268671842,128.26299575949096
2020-09-03,121.68682432905479,115.46805727545951,127.98431274720139
2020-09-04,121.6365845652641,115.1315689250806,127.63550523065827
2020-09-08,121.23543214736209,115.30213924054524,127.70516411929296
2020-09-09,121.34967966057074,115.41313425335889,127.6918109002701
2020-09-10,121.02170161260513,114.59033672492673,127.55847315743814
2020-09-11,120.93173411615528,115.25225154891224,127.43355222769769
2020-09-14,120.54954412691657,114.3311097567635,126.48105695625406
2020-09-15,120.34082680739378,114.13529047679003,126.66378782957169
2020-09-16,120.40524886769319,114.11332753272156,126.49402257024943
2020-09-17,120.02927310013943,113.86207631588186,126.3857731763758
2020-09-18,119.89474131081768,113.97051577164595,126.03663573007387
2020-09-21,119.41589635363574,113.39048085980463,125.9106991480584
2020-09-22,119.19254271701348,113.20933179724365,125.53186195207407
2020-09-23,119.25343272542526,113.26684284160125,125.24098886267677
2020-09-24,118.88613119727452,113.47587940638425,125.6300887214915
2020-09-25,118.7733309301948,113.06275017924804,125.26899930754797
2020-09-28,118.44209433211554,112.22583897354083,124.76218033960865
2020-09-29,118.29514496787314,111.9828280037719,124.17206504960478
2020-09-30,118.44506232803143,112.32675823018184,124.52352416926841
2020-10-01,118.17832902846371,112.02883695714115,124.22321366823438
2020-10-02,118.17625063719899,111.7057582608869,124.75529626886987
2020-10-05,118.2203630760616,112.31041092919898,124.7959627809459
2020-10-06,118.2060349131238,112.19584018655678,123.80725431955251
2020-10-07,118.48857913660522,112.2694420675042,124.70738335789346
2020-10-08,118.35217392511824,112.7239007217301,124.2598955985623
2020-10-09,118.47587092598316,112.26787619065225,124.20951619941579
2020-10-12,118.84950303994022,112.01516264819355,124.71834637834019
2020-10-13,118.92333724693025,112.88861563739145,125.1150137005724
2020-10-14,119.28105298870551,113.22278153108314,125.71547957941367
2020-10-15,119.20605231342843,112.90434091345996,125.80114952709722
2020-10-16,119.37699225169389,113.08786289807725,125.6220479512521
2020-10-19,119.80936931130427,113.75090972486915,125.83966841997362
2020-10-20,119.87771930287757,113.87257610125785,126.5794738650346
2020-10-21,120.21960844935506,114.24413871255393,126.05747658629896
2020-10-22,120.12021379022252,114.57543159359089,126.4584914644885
2020-10-23,120.2602062006476,113.64040714242016,126.6418474719064
2020-10-26,120.58284797785979,114.07684702695698,126.29624245222695
2020-10-27,120.61675046691344,114.55932625940534,127.1993609144674
2020-10-28,120.92903080074329,114.53946764529218,127.06417617553389
2020-10-29,120.80691558610425,114.73117329073631,127.29660459672891
2020-10-30,120.93288797178778,114.677458046983,127.28749557845853
2020-11-02,121.27903434681471,114.51356541807091,127.5423611717782
2020-11-03,121.34517617636595,114.61832378109393,127.45222051486873
2020-11-04,121.70211263204465,115.38460669483804,128.0404695954473
2020-11-05,121.63653218995132,115.33770176509574,127.95431549142258
2020-11-06,121.82993917007613,115.73568702324,128.16450871014052
2020-11-09,122.42790910592694,116.57335401811322,128.78730925344493
2020-11-10,122.58746452245548,116.12585217000787,128.9717827139103
2020-11-11,123.03835938002004,116.75863176344076,129.13340796052864
2020-11-12,123.06450626613342,116.48282085811901,128.45847653064254
2020-11-13,123.34456802505984,116.84717458534406,129.23518760663984
2020-11-16,124.14441615745241,118.08517273879346,130.1627542130353
2020-11-17,124.34352028770991,117.85975370907146,130.43419672702794
2020-11-18,124.81659298112675,118.96069323723594,131.05169196727365
2020-11-19,124.8460098681435,118.63624677299481,131.0704438695586
2020-11-20,125.109352889973,119.09309547369836,131.74752810170472
2020-11-23,125.73594627865795,119.21698915415556,132.15339040619097
2020-11-24,125.83789581345226,119.45724749667991,132.00844691055278
2020-11-25,126.19626934867547,120.22856395157206,132.44020379499278
2020-11-27,126.21567613063857,120.1255446461592,132.43282950542542
2020-11-30,126.36546805828283,120.27901494188826,132.486718047007
2020-12-01,126.30419731436834,119.96559680327012,132.1569548976329
2020-12-02,126.50328718117544,120.64122337360902,132.61908360914256
2020-12-03,126.25082284919795,120.42963264834219,132.85230655960623
2020-12-04,126.23041552348215,120.29043562732828,132.24761518416972
2020-12-07,126.05636722242252,119.77422559584063,132.00601097973916
2020-12-08,125.92829780675467,119.98215627282138,131.9117324900906
2020-12-09,126.08420706047946,119.44960444982694,132.60918053067343
2020-12-10,125.81316495827694,119.43239555053165,131.99107786197007
2020-12-11,125.79915406661345,119.60356516739958,131.96648935772615
2020-12-14,125.78843957809754,119.34528973911014,131.94131631033824
2020-12-15,125.7579071408175,119.55152335719494,131.87567651814095
2020-12-16,126.0290182703605,119.63164919397683,132.12297368590018
2020-12-17,125.88778431366235,119.27209867244197,132.4173922307443
2020-12-18,126.01474542054125,119.85845646019116,131.5934948113634
2020-12-21,126.4556526503252,120.19140468695457,132.62782986568823
2020-12-22,126.5718841250705,120.22993697381484,132.35599138015246
2020-12-23,126.98126988195988,120.81769572581786,133.10922310796454
2020-12-24,126.96612159329815,120.95243673952866,133.0480062214268
2020-12-28,127.85513761493016,121.60001447042578,134.13953296967537
2020-12-29,127.99477662153056,121.6560347787228,133.96474586789847
2020-12-30,128.40240176403287,122.14546866379973,134.3101529657314
2020-12-31,128.36021774475435,122.28221227638196,134.10668536411154
2021-01-04,128.9081535069545,122.85221991534743,134.7339025583499
2021-01-05,128.91423830637729,122.52206084409848,135.1788451777762
2021-01-06,129.17464752036688,122.97020734691846,135.40376101502932
2021-01-07,128.97502906451246,122.59391168795686,134.90385847738906
2021-01-08,128.99671666841354,123.00146878886659,134.93774485493813
2021-01-11,128.86485898321757,122.24161301828985,134.80851635925762
2021-01-12,128.71756370536596,122.6183843418658,134.79764947259042
2021-01-13,128.8356913941925,122.46159699060165,134.91409640766892
2021-01-14,128.50762144371149,122.32427719172568,135.06999256231913
2021-01-15,128.41695646283196,122.19945362532815,134.48865350122023
2021-01-19,127.8756682158703,121.70428200358394,133.78796657540954
2021-01-20,127.97649904086633,122.00673040761971,133.80395758036357
2021-01-21,127.64892747590524,121.66828874892038,134.18571400422923
2021-01-22,127.57484377834056,121.52304675273653,134.10376636109285
2021-01-25,127.3396432566763,121.039988313112,133.43181865980773
2021-01-26,127.21161709083007,121.46023920764772,133.27519011499538
2021-01-27,127.37007579740212,121.2223859808317,133.16896652450447
2021-01-28,127.09896670843723,121.25481620679354,133.36600009397839
2021-01-29,127.07702225790224,121.19128300235273,133.50743146913285
2021-02-01,126.94418684534566,120.85086472740008,133.08290068143629
2021-02-02,126.82468936406326,120.3823338663855,132.8478057473235
2021-02-03,126.97626173344814,121.01461060170462,133.1834019998235
2021-02-04,126.6821067355782,120.18649636189544,132.7325216646043
2021-02-05,126.64319364503288,120.09131291958634,132.7207630696303
2021-02-08,126.36950489312909,120.78349206931792,132.444703754299
2021-02-09,126.17865983981959,120.20646434254043,132.08250058376842
2021-02-10,126.25082292949222,120.08794964268621,132.41221142377074
2021-02-11,125.872353097773,120.15669653852221,132.3835777989756
2021-02-12,125.72533304894479,119.69940028538613,131.783358797267
2021-02-16,124.88998432269533,119.13705110241924,131.34173511514686
2021-02-17,124.9037215592394,118.55370030788666,131.41170570998312
2021-02-18,124.48742459650072,118.23007042269478,130.23621762146905
2021-02-19,124.32598424941072,118.54066853285421,130.8134338637607
2021-02-22,123.87428717578173,117.91623459495038,129.8738117475875
2021-02-23,123.70346448101245,117.68810208571131,129.91366413837753
2021-02-24,123.84133111876568,117.69701967179036,129.7170897600873
2021-02-25,123.57631818961778,117.44122897542046,129.64805128420295
2021-02-26,123.5914222356031,117.3101664677559,130.1665258368707
2021-03-01,123.79182501774602,117.42103490259136,130.030638376491
2021-03-02,123.86656034645219,118.01730901576592,129.99270878178956
2021-03-03,124.25660355950163,118.0741408625444,130.37392607208125
2021-03-04,124.24542425832367,117.60786903576171,130.92047527904248
2021-03-05,124.51090821599747,118.23871382537001,130.65581994655452
2021-03-08,125.39109015525231,119.2081440898531,131.30073548083388
2021-03-09,125.65281369254458,119.50520583822642,131.669579560044
2021-03-10,126.20309717748765,119.88359718183322,132.24293110717323
2021-03-11,126.32205675160216,120.12992390666409,132.5650583621803
2021-03-12,126.6849011305545,120.45814053963697,133.3120829167448
2021-03-15,127.64529635541338,121.60850741459544,133.83719979438897
2021-03-16,127.86221950357623,121.70907991795193,133.96614599927784
2021-03-17,128.33359844349664,122.42190122714973,134.94232905956468
2021-03-18,128.34178945510024,121.75325867244382,134.52586018991352
2021-03-19,128.56500722112855,122.41824214131658,134.2868103894168
2021-03-22,128.97330733211942,122.75042627193201,135.26801877565507
2021-03-23,128.9777016702619,122.84984938078141,135.76627369571207
2021-03-24,129.23114606185212,123.14202079706715,135.65667687274518
2021-03-25,129.0215632986473,122.7067554387119,135.35564940621276
2021-03-26,129.0327170674267,122.4100307981171,134.92552683307431
2021-03-29,128.89145247378156,123.16190561449903,134.65920748050254
2021-03-30,128.75705208869906,122.25707784330048,134.4984596727285
2021-03-31,128.90028649766882,122.38522535339423,134.93985556466092
2021-04-01,128.61188683357926,122.4736787308132,135.03794762971785
2021-04-05,128.5082755415553,122.50816642568249,134.55929094592466
2021-04-06,128.46546163582107,122.2482603412606,135.16114769175883
2021-04-07,128.73113921524507,121.91141260243378,134.54495273169437
2021-04-08,128.5931170504276,122.7364490180131,134.8648426911237
2021-04-09,128.73359330482185,122.82342652981727,135.25933810004122
2021-04-12,129.29068938239217,122.61067165462877,135.45651223425986
2021-04-13,129.474372238119,122.97831722040495,135.51805398124836
2021-04-14,129.96670604373753,124.15993641971174,136.45194133527042
2021-04-15,130.05028780892886,123.70687545449488,136.13310552704053
2021-04-16,130.4022846692262,124.18621951986398,136.46956038810913
2021-04-19,131.48839489125393,125.35046324246748,137.60819046971864
2021-04-20,131.8007220805372,125.44810941450406,138.33505462665084
2021-04-21,132.39315946760368,125.99532244572477,138.03164735187823
2021-04-22,132.54656291990358,126.32898877228665,138.95430050845715
2021-04-23,132.93713193436687,126.79596133750671,139.31213270308697
2021-04-26,133.95352935361407,127.8529759939516,140.3446251799065
2021-04-27,134.18527144988184,127.94125714550889,140.2910427523136
2021-04-28,134.67240694936217,127.94827137015687,141.0782809210755
2021-04-29,134.69905626422093,128.7056276062666,141.05577350662153
2021-04-30,134.9451525464217,129.07133809907623,140.94309503317652
2021-05-03,135.4639452729113,129.2149344274415,141.42837551034825
2021-05-04,135.52325321589467,129.2482502835002,141.51403685676203
2021-05-05,135.84206547898717,129.69260434950968,142.22597839023317
2021-05-06,135.70868225573324,129.69771794832891,141.9736525890116
2021-05-07,135.80689336431266,129.544306356569,142.32238551783368
2021-05-10,135.986702861723,129.6891838155705,141.92626529814524
2021-05-11,135.97572657819615,130.08992704872261,142.22344094972124
2021-05-12,136.24794629519857,130.19174313280024,142.48580160473978
2021-05-13,136.09205782247898,130.02860201132847,141.76469784304743
2021-05-14,136.1915677017021,130.0197334421166,142.33656682398916
2021-05-17,136.50558336869133,130.57869495470197,143.24564708221055
2021-05-18,136.57570099598553,130.35505215741142,142.71460400284835
2021-05-19,136.9424293391326,130.8120412594706,142.99103518682296
2021-05-20,136.89104043368414,131.14896993757537,142.46638708402332
2021-05-21,137.10137067383636,130.17103975021823,142.5026726453015
2021-05-24,137.74750284252934,130.793094630568,143.5493599787665
2021-05-25,137.91564749832057,131.9805186077401,144.36458130083363
2021-05-26,138.3682229792722,132.21539936937464,144.2805367788043
2021-05-27,138.38745157313434,132.46157313534323,145.01358200298367
2021-05-28,138.65053296749957,132.26887474971977,144.46832068422782
