ds,yhat,yhat_lower,yhat_upper
2020-04-20,101.17995631144343,88.65942331401962,114.65473435874807
2020-04-21,101.00988117932056,87.98840676561107,113.87979940015042
2020-04-22,101.13267981106166,87.93669096548996,114.01769663481835
2020-04-23,100.81678394598035,88.41036790558366,112.76566032276932
2020-04-24,100.85988275098124,88.25207169113386,113.49159118153771
2020-04-27,100.47118200319416,87.51065447393353,113.82938024549954
2020-04-28,100.0433242719287,86.80966979158046,113.49150489587898
2020-04-29,99.93184033107,87.63775743288369,113.38904112331217
2020-04-30,99.41042486492435,86.61121658288089,112.37668985542942
2020-05-01,99.28152623110687,86.13165577180432,112.2221695597533
2020-05-04,98.61533918786216,85.45690488924484,111.48480857914342
2020-05-05,98.1828173373325,85.48527199813772,111.52860088910012
2020-05-06,98.11242479669684,86.01293622829343,111.26882451288542
2020-05-07,97.67747709870646,84.1854904328784,110.69397773302393
2020-05-08,97.67904459267649,84.76903721253586,110.63555100346295
2020-05-11,97.64025619516143,84.32196597649774,110.25469360633741
2020-05-12,97.48195894036692,84.74661615699128,110.78453587427278
2020-05-13,97.70977786442182,85.0833917319716,111.27772804108747
2020-05-14,97.59109424622184,84.7677879506418,110.53268827206891
2020-05-15,97.92071506586606,85.16873843743458,110.57529026188847
2020-05-18,98.87259930471433,86.10853985093992,111.23848705237921
2020-05-19,99.0258911676054,86.31730138167856,112.77098309007265
2020-05-20,99.54642647079714,86.83441318591736,112.78542491467822
2020-05-21,99.6966637608931,86.91711573184386,112.59947421835622
2020-05-22,100.26720164064382,87.01879510776322,113.40029533868253
2020-05-26,102.00175610072151,89.09120228813113,115.45722490333004
2020-05-27,102.59070674446596,89.98949422951208,115.75749214570212
2020-05-28,102.77500322470974,90.13155481045297,115.38270040947131
2020-05-29,103.34746014542198,91.12637936942458,116.81045085550582
2020-06-01,104.67139310483425,92.24103516840931,118.27293261246399
2020-06-02,104.83912450597413,91.82303835461883,118.4097595626806
2020-06-03,105.32746074058842,91.9304608125518,118.09912260224426
2020-06-04,105.40554723988552,92.9768830696845,117.97162136679468
2020-06-05,105.87159516093064,92.9724658412255,118.78846656343057
2020-06-08,106.92638135612938,94.14582091642777,120.07059244319899
2020-06-09,107.03629295896322,94.34469039171545,120.43148255730272
2020-06-10,107.48897357786562,93.7376123768747,119.92403981042179
2020-06-11,107.55624864225527,94.3210463997772,119.8109878030997
2020-06-12,108.03820040514096,95.45998095270039,121.46079180050239
2020-06-15,109.30672550491968,97.38211547992813,122.80540724760822
2020-06-16,109.54075737129827,96.83597297418694,122.4898338887587
2020-06-17,110.14065523416028,96.81126746700838,123.2622563206516
2020-06-18,110.37509177678298,97.061721414386,123.83416045070324
2020-06-19,111.04034574434614,98.49454714623808,124.94175143666898
2020-06-22,112.9101393109454,100.17560691648954,125.68614482624206
2020-06-23,113.3449533168188,100.35543713049387,126.8047254106162
2020-06-24,114.13710702028798,100.83024103952364,127.37289676101109
2020-06-25,114.5501460766973,102.0076920669776,128.06670542579033
2020-06-26,115.37547654646923,102.13240158660601,128.71321089351366
2020-06-29,117.57199875556071,104.05440365155728,131.06891177936532
2020-06-30,118.0533016521147,105.73174954616387,132.02993298144645
2020-07-01,118.85682824864566,106.32436370841864,131.82445736449682
2020-07-02,119.24493496484382,106.96485814885608,132.0407968993006
2020-07-06,121.80854471045359,108.81793134074749,134.62519929343887
2020-07-07,122.09361695147965,108.97590098360776,135.01008223526054
2020-07-08,122.67389156298755,109.8759332839231,135.73238048332516
2020-07-09,122.81557509544346,109.95753945950831,134.7366186331352
2020-07-10,123.31398314609928,110.88281902062452,136.59141476603372
2020-07-13,124.25174217169958,111.85498885264613,137.0752909852004
2020-07-14,124.2436656467099,112.24417688360862,137.14132444151417
2020-07-15,124.53595493305528,111.88654614819076,137.23712493651357
2020-07-16,124.3993555681082,112.26023593774013,137.29391287939367
2020-07-17,124.63339047463509,112.24581462660777,136.69485900291846
2020-07-20,124.89691893266203,112.57830289212458,138.4027573738194
