ds,yhat,yhat_lower,yhat_upper
2020-04-20,-8.632679038350538,-15.7674185666211,-1.0489295588518162
2020-04-21,-8.443723726594245,-15.794643516872101,-0.9924249904517901
2020-04-22,-8.218816996237909,-15.595869484497912,-1.0588083375560968
2020-04-23,-7.8851801212535815,-14.967162141358852,-0.4615984030947563
2020-04-24,-7.717630821803523,-14.797191911497457,0.006138406337715466
2020-04-27,-6.927302528320682,-14.471352454338996,0.38859894615989565
2020-04-28,-6.812096454698608,-13.71332115696747,0.32482486386382087
2020-04-29,-6.691173511820532,-14.346283500403878,0.5437429423665185
2020-04-30,-6.48749837265585,-13.935907935416461,0.9606931797339956
2020-05-01,-6.47085875346748,-14.037818716078535,0.7970794715830526
2020-05-04,-6.200077946431815,-13.699365099369283,0.8509719833655172
2020-05-05,-6.2590127113424,-14.052116923113589,1.088593385783288
2020-05-06,-6.30183866040079,-13.660440260593454,0.9255170718882203
2020-05-07,-6.245259982804084,-13.76511630522713,1.0586470389883438
2020-05-08,-6.353234110229266,-13.299356641909247,0.7786576107078272
2020-05-11,-6.273004654712324,-13.67611258609692,0.5557330402316716
2020-05-12,-6.322514690078846,-14.078748908235731,1.0371054776338111
2020-05-13,-6.316048140217404,-13.448514542510967,1.3716423042886965
2020-05-14,-6.169939430811844,-13.588172497358919,1.2231378279675265
2020-05-15,-6.1489337507993636,-13.87485264997418,0.9955760808094409
2020-05-18,-5.46986909102392,-12.563751905764473,1.7230945620623204
2020-05-19,-5.2626061001960025,-12.386866971357303,1.9471233248721451
2020-05-20,-4.979766830218972,-12.478053891412799,1.849141496868788
2020-05-21,-4.544135933030143,-12.164362099771244,2.8413440143058097
2020-05-22,-4.227386649800872,-11.470147774467378,3.0722846298401274
2020-05-26,-2.2405880792413235,-9.099734536538671,5.366552580844492
2020-05-27,-1.738239449089411,-9.666204676138378,5.8752094574303175
2020-05-28,-1.1177896223725163,-9.255521449903258,6.53025980113754
2020-05-29,-0.6558743076092792,-8.269519835784958,7.135488938968865
2020-06-01,1.0381906090352846,-6.0661887315986975,8.366222747956474
2020-06-02,1.4514338656056172,-6.4898100276624,8.291952063588647
2020-06-03,1.8630162486806388,-5.339267759166322,9.739657456617214
2020-06-04,2.346216032970978,-5.192219171196634,9.47660117022086
2020-06-05,2.627402016074061,-3.8610263685267974,9.527494639996018
2020-06-08,3.5639793414499454,-3.6478829148693395,10.703671188322948
2020-06-09,3.6724484206718975,-3.885021460402463,11.077977861383337
2020-06-10,3.7644605829037907,-3.6576969208017784,11.28598847239491
2020-06-11,3.9206802643620806,-3.5068602681548753,10.777824140713017
2020-06-12,3.874975302605799,-3.6144884760922027,10.64891253744818
2020-06-15,3.9038869321322034,-3.7627400841217193,11.308698618753079
2020-06-16,3.756104567028588,-3.1917572018035,11.077662225208481
2020-06-17,3.624290434887337,-4.1080444810951855,11.167332087499622
2020-06-18,3.5933295771575384,-4.147958690007038,10.622714027024688
2020-06-19,3.4002490341530995,-4.246235661044163,10.939759979279037
2020-06-22,3.240072588654983,-4.821014776394246,10.452551746252539
2020-06-23,3.1123643727472023,-4.642167972049199,10.488469049903536
2020-06-24,3.0386280473893885,-3.703297000971824,10.712587256732373
2020-06-25,3.099992649858895,-4.39342538985677,10.208825240158765
2020-06-26,3.0287871454901314,-4.6561584384958525,10.267606153674466
2020-06-29,3.3534679955829825,-3.645036709267937,11.24944414572377
2020-06-30,3.405271456983243,-4.413706134735824,11.382112848528209
2020-07-01,3.5084810113021856,-4.511483932728559,10.823611910547356
2020-07-02,3.7373823232053613,-3.614505517085997,11.690493196990575
2020-07-06,4.445035058020777,-3.2037092552140627,12.131034457706107
2020-07-07,4.532062509376742,-2.9419338322807698,11.636795327953138
2020-07-08,4.632681857244201,-2.894022669547314,11.699253302251979
2020-07-09,4.819844605367055,-2.1859581249134847,11.827394765028176
2020-07-10,4.819203679463776,-2.5471757911075237,11.838781541819811
2020-07-13,4.983717572130291,-2.4260733825850864,12.042816679528586
2020-07-14,4.854253822955035,-2.3272570653266187,12.926891796574795
2020-07-15,4.715222350369074,-2.8093585263425096,12.329689004044777
2020-07-16,4.645578023374486,-2.0835801395262816,12.091311075860322
2020-07-17,4.377575545447106,-2.9675141013001007,12.016299403739689
2020-07-20,3.7478010355219773,-3.54396641348477,10.859022481423805
2020-07-21,3.3802091703063084,-3.516474828708098,10.668132807557802
2020-07-22,3.027852962261737,-4.182575309192244,10.567180161376877
2020-07-23,2.7758561589802477,-4.425792512517452,10.076728181160668
2020-07-24,2.3619134499359022,-5.218719773705715,9.815596849236588
2020-07-27,1.5532253639556775,-5.9671496690678785,8.725722210031135
2020-07-28,1.2203468034972609,-6.706288303890591,9.129251597259548
2020-07-29,0.9509385417672469,-6.665628978184635,8.100582329378994
2020-07-30,0.8289185542806514,-6.938024128985523,7.996882311304799
2020-07-31,0.5895678924338501,-6.861221447538726,8.132258698959282
2020-08-03,0.5315017403061031,-6.727277791570478,8.093396876862988
2020-08-04,0.5060013221245523,-6.531067516942072,8.102047686316533
2020-08-05,0.5614076781074857,-7.12234069813927,7.424106104568745
2020-08-06,0.7741430309728408,-6.466952629095349,8.005668139661273
2020-08-07,0.8717154085434924,-6.696539747355063,8.313705545070228
2020-08-10,1.7596761293512113,-5.3912659352532435,8.839977546164114
2020-08-11,2.00338176652364,-5.425295710361836,10.00402306467691
2020-08-12,2.29397442967724,-5.759842474942219,9.564148347307242
2020-08-13,2.7030046947578734,-4.797249352562967,10.676572679547048
2020-08-14,2.952953812929194,-4.968049644865316,10.331923598143137
