ds,yhat,yhat_lower,yhat_upper
2020-04-20,154.1363090288037,137.08301099918734,169.10341471045436
2020-04-21,153.59141885145377,137.61890836699777,168.68767589015758
2020-04-22,153.21069917848584,138.0634449626399,169.18183535792116
2020-04-23,152.3862307536392,137.07214919186274,168.60713626090708
2020-04-24,151.56138743631269,135.81370794060524,167.67682705163597
2020-04-27,150.13794424285396,134.50082940420666,166.37904786828858
2020-04-28,149.5552545017807,132.6582677214758,164.39993829802086
2020-04-29,149.13919665453423,133.3076671990867,164.34282068989447
2020-04-30,148.28590146603432,132.03700321394754,163.01349867805322
2020-05-01,147.443496821037,130.9014419516259,163.09355387372062
2020-05-04,146.0898516165031,131.7478654400179,160.6140332118105
2020-05-05,145.59074417414993,129.8944602401956,160.82884486492915
2020-05-06,145.2980762489106,129.14196747104324,160.60474675900483
2020-05-07,144.6132792635296,129.13421100540376,161.28268191446202
2020-05-08,143.98917052788929,128.2514667326145,159.82720371214384
2020-05-11,143.6230266876182,128.24397353933543,159.42466631271884
2020-05-12,143.56976167283122,128.4534236702902,159.49315296021075
2020-05-13,143.78100304425917,128.5761456748173,159.9954039285961
2020-05-14,143.65594113231376,126.89117728764896,159.62040305271833
2020-05-15,143.6437152872892,128.19682959149745,159.5650443290074
2020-05-18,145.36832650557292,131.2134083825215,160.9358223526329
2020-05-19,146.07129267705164,131.7482006040655,162.7631989985062
2020-05-20,147.05276661515762,130.9755765357357,162.49998998755152
2020-05-21,147.7012236262002,131.0518421743604,164.24935773337032
2020-05-22,148.45449501052386,132.15462080679913,165.1100143092538
2020-05-26,153.63045433525747,136.55232257992745,168.62155983053057
2020-05-27,155.16404609662334,138.7544907213402,170.34945136298518
2020-05-28,156.29014219439054,139.9335267269478,170.87543880148723
2020-05-29,157.43808109901786,142.10249034254053,173.01501986664007
2020-06-01,161.91658225660785,147.0313295098582,178.1289443958235
2020-06-02,163.2437499703945,146.46152417493326,178.0881543539955
2020-06-03,164.68237193338305,148.4668787067569,180.00376071204184
2020-06-04,165.61282703489573,150.0547223436136,181.70668347115716
2020-06-05,166.46784708211007,150.94640282162032,181.2139752804813
2020-06-08,169.5442079097243,153.4856716618729,184.69222724772982
2020-06-09,170.2575460180233,153.6962877120523,186.20946144612705
2020-06-10,171.026478352866,156.0567547566686,185.5371812635643
2020-06-11,171.24337261212466,156.16791544499495,186.6487177247915
2020-06-12,171.35365420128244,155.37023756250048,186.3457720854984
2020-06-15,172.14059239347105,156.06372591307567,187.7481805797596
2020-06-16,172.11605205774012,157.0321846951262,188.50402465556843
2020-06-17,172.18042121196936,156.89621345117314,188.85115647316442
2020-06-18,171.73737715070015,156.13687374882346,188.25122408887307
2020-06-19,171.24248328065792,156.0080632477327,186.85957807148134
2020-06-22,170.6232724924766,155.28900349814407,185.91444985506638
2020-06-23,170.2855814116004,156.22579941982136,186.48954541822673
2020-06-24,170.11997064785209,154.93796430755683,186.02214860772216
2020-06-25,169.53065317753146,153.37518276516795,185.63073293318521
2020-06-26,168.97207225769728,153.836836353842,187.9107815312313
2020-06-29,168.622159717378,153.3074022369876,186.179093328557
2020-06-30,168.5088790603965,153.36641112135678,183.8850126399842
2020-07-01,168.6226381021226,151.55564723679709,184.58911941888948
2020-07-02,168.35887501379833,152.62446573590557,185.15733344533717
2020-07-06,169.02306214304758,153.74302371833443,183.93122665568163
2020-07-07,169.32202131589898,153.1215865612105,184.61043664250226
2020-07-08,169.83721199533707,155.1362527708233,186.32201518135415
2020-07-09,169.95592102863887,154.2275208264901,186.024850233856
2020-07-10,170.1159607739438,155.3301457810903,186.70479193900104
2020-07-13,171.83116674924176,155.1202542058504,187.82636550472574
2020-07-14,172.33079324292305,156.67397894317136,188.45581786642475
2020-07-15,173.00114103561526,157.05800226041853,187.7756094007267
2020-07-16,173.22932297443734,157.3864419302946,190.08715323808858
2020-07-17,173.4541461309678,158.20972304245063,188.74926420420397
2020-07-20,175.12105381691256,159.4402497030942,191.00383248795123
2020-07-21,175.53649046587054,160.7025827220223,189.66831563442267
2020-07-22,176.09661921280255,160.10507377697655,191.56135217788238
2020-07-23,176.19398196978264,161.02938702343303,191.54361432564463
2020-07-24,176.27298093525874,161.01234445936944,191.99095433159778
2020-07-27,177.46717105483893,161.6353384848205,193.01103201775143
2020-07-28,177.73002238465773,160.82440491470663,193.55240490794003
2020-07-29,178.1471616724838,163.16893581873546,194.1708687272701
2020-07-30,178.1143843292483,162.551275536101,194.9203879981673
2020-07-31,178.07855072781945,161.32437408379425,193.47487933362638
2020-08-03,179.03178632527374,162.6461115576369,194.97131804955438
2020-08-04,179.2483717235955,163.32610902586174,195.0142252751188
2020-08-05,179.63394957129574,164.32736777553808,194.20981218000685
2020-08-06,179.5817918659965,164.24996353579368,195.04859318258613
2020-08-07,179.53560614597464,164.1529116562062,195.37298120881297
2020-08-10,180.47346888215742,164.65295050589035,195.63881133616357
2020-08-11,180.67595123271366,164.89360306068912,195.95996208176356
2020-08-12,181.03564777354353,164.46813728083768,196.40360767918455
2020-08-13,180.94165254401926,165.0624648580648,196.16331164019527
2020-08-14,180.83382314573373,165.84091038050374,197.3502055394333
